Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
"Apparel, Piece Goods, and Notions Merchant Wholesalers(424300)",        6220,         5.1,       22.18,       46140,         1.6,       15.01,       18.15,       21.10,       24.40,       30.40,       31220,       37760,       43880,       50750,       63240
Food and Beverage Retailers(445000),      106850,         1.8,       15.56,       32360,         0.4,       11.44,       13.38,       14.96,       17.40,       19.22,       23800,       27820,       31110,       36190,       39970
Food and Beverage Retailers (4451 and 4452 only)(4450A1),      105990,         1.8,       15.55,       32330,         0.4,       11.44,       13.38,       14.95,       17.40,       19.16,       23790,       27820,       31100,       36190,       39840
"Beer, Wine, and Liquor Retailers(445300)",         870,        26.3,       16.94,       35230,        14.9,       12.00,       13.44,       15.57,       19.37,       22.95,       24960,       27950,       32380,       40280,       47730
"Furniture, Home Furnishings, Electronics, and Appliance Retailers(449000)",       21810,         3.5,       18.90,       39310,         1.3,       13.30,       15.39,       18.05,       21.09,       24.70,       27650,       32010,       37550,       43870,       51380
Furniture and Home Furnishings Retailers(449100),       12850,         2.9,       18.37,       38210,         0.7,       13.87,       15.46,       17.74,       20.34,       23.54,       28850,       32160,       36910,       42310,       48950
Electronics and Appliance Retailers(449200),        8960,         7.3,       19.65,       40870,         2.5,       12.27,       15.26,       18.87,       22.48,       26.87,       25520,       31730,       39240,       46750,       55890
General Merchandise Retailers(455000),      188580,         3.1,       17.70,       36810,         0.3,       14.20,       15.96,       16.90,       18.50,       22.00,       29530,       33200,       35150,       38490,       45770
Health and Personal Care Retailers(456000),       27530,         7.3,       19.38,       40300,         0.9,       14.01,       16.29,       18.62,       21.58,       24.61,       29140,       33880,       38720,       44890,       51180
Health and Personal Care Retailers(456100),       27530,         7.3,       19.38,       40300,         0.9,       14.01,       16.29,       18.62,       21.58,       24.61,       29140,       33880,       38720,       44890,       51180
Pharmacies and Drug Retailers(456110),       12050,        14.4,       19.71,       41000,         1.4,       13.46,       16.87,       19.27,       22.00,       24.61,       27990,       35080,       40080,       45760,       51180
"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers(458000)",       18380,        11.1,       19.05,       39620,         3.7,       13.50,       15.85,       18.14,       20.84,       25.36,       28070,       32980,       37720,       43340,       52750
Clothing and Clothing Accessories Retailers(458100),       16200,        13.5,       18.98,       39480,         4.3,       13.50,       15.81,       18.15,       20.62,       25.36,       28070,       32870,       37750,       42880,       52750
Shoe Retailers(458200),         570,        16.6,       18.79,       39080,         3.5,       10.91,       16.02,       18.26,       21.66,       24.05,       22690,       33320,       37970,       45050,       50020
"Jewelry, Luggage, and Leather Goods Retailers(458300)",        1600,        15.8,       19.82,       41220,         1.7,       14.56,       16.15,       18.09,       23.06,       27.87,       30290,       33590,       37620,       47960,       57960
"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers(459000)",       42000,         2.1,       17.52,       36450,         0.6,       12.27,       14.32,       16.91,       18.82,       23.28,       25520,       29790,       35170,       39140,       48420
